;F.O.;Tiempo (s);Dev (%);#Best
Constructivo
Búsqueda local


;Constructivo;;;;Búsqueda Tabu
Nombre de la instancia;F.O.;Tiempo (s);Dev (%);#Best;F.O.;Tiempo (s);Dev (%);#Best;;Best
Grasp51pmed11v3.10.2.txt;10747,99521;0,0504107;0,20020;0;8955,18326;0,2377141;0,00000;1;;8955,18326
Grasp52pmed11v3.10.2.txt;11429,67999;0,0626323;0,28810;0;8873,28475;0,2874682;0,00000;1;;8873,28475
Grasp53pmed11v3.10.2.txt;11545,65140;0,0625258;0,29858;0;8891,01192;0,3061661;0,00000;1;;8891,01192
Grasp54pmed11v3.10.2.txt;10417,14307;0,0389783;0,17054;0;8899,41273;0,2352969;0,00000;1;;8899,41273
Grasp55pmed11v3.10.2.txt;10987,66522;0,0383324;0,23884;0;8869,32281;0,2355111;0,00000;1;;8869,32281
Grasp56pmed11v3.10.2.txt;9909,55795;0,0412679;0,12134;0;8837,24162;0,2819366;0,00000;1;;8837,24162
Grasp57pmed11v3.10.2.txt;10048,12119;0,0415319;0,13010;0;8891,32281;0,3606092;0,00000;1;;8891,32281
Grasp58pmed11v3.10.2.txt;10723,21662;0,0638541;0,21369;0;8835,22358;0,2583901;0,00000;1;;8835,22358
Grasp59pmed11v3.10.2.txt;10165,51932;0,0391066;0,14367;0;8888,47070;0,3419816;0,00000;1;;8888,47070
Grasp60pmed11v3.10.2.txt;10265,84577;0,0376504;0,16107;0;8841,72874;0,2974457;0,00000;1;;8841,72874
Grasp61pmed11v3.10.2.txt;11840,35598;0,0622502;0,32907;0;8908,72087;0,3308889;0,00000;1;;8908,72087
Grasp62pmed11v3.10.2.txt;10375,55827;0,0407336;0,16303;0;8921,15361;0,2685646;0,00000;1;;8921,15361
Grasp63pmed11v3.10.2.txt;12138,51573;0,0394684;0,36578;0;8887,63653;0,2436488;0,00000;1;;8887,63653
Grasp64pmed11v3.10.2.txt;10182,22640;0,0400525;0,14662;0;8880,22358;0,2386764;0,00000;1;;8880,22358
Grasp65pmed11v3.10.2.txt;10350,07529;0,0483575;0,16344;0;8896,09460;0,2793517;0,00000;1;;8896,09460
Grasp66pmed11v3.10.2.txt;10308,22520;0,0618410;0,15401;0;8932,52007;0,2668830;0,00000;1;;8932,52007
Grasp67pmed11v3.10.2.txt;10904,32147;0,0392452;0,22260;0;8918,98861;0,2020191;0,00000;1;;8918,98861
Grasp68pmed11v3.10.2.txt;11020,94417;0,0401133;0,23706;0;8908,96396;0,2672171;0,00000;1;;8908,96396
Grasp69pmed11v3.10.2.txt;11166,76690;0,0629045;0,26671;0;8815,58082;0,2975976;0,00000;1;;8815,58082
Grasp70pmed11v3.10.2.txt;9690,22745;0,0363021;0,09994;0;8809,75405;0,1757271;0,00000;1;;8809,75405
Grasp71pmed11v3.10.2.txt;9722,71787;0,0526055;0,09781;0;8856,49769;0,2743099;0,00000;1;;8856,49769
Grasp72pmed11v3.10.2.txt;10647,70005;0,0378385;0,18378;0;8994,66038;0,2117255;0,00000;1;;8994,66038
Grasp73pmed11v3.10.2.txt;11431,21911;0,0471520;0,27645;0;8955,47371;0,2724768;0,00000;1;;8955,47371
Grasp74pmed11v3.10.2.txt;11021,62398;0,0414718;0,24725;0;8836,72874;0,2641888;0,00000;1;;8836,72874
Grasp75pmed11v3.10.2.txt;10713,17523;0,0393766;0,19896;0;8935,39450;0,2635137;0,00000;1;;8935,39450
Grasp76pmed11v3.10.2.txt;11294,27442;0,0373746;0,26801;0;8907,06985;0,2235380;0,00000;1;;8907,06985
Grasp77pmed11v3.10.2.txt;11362,62560;0,0616004;0,24284;0;9142,47579;0,1756369;0,00000;1;;9142,47579
